Brightcove Inc,BCOV,20180409,7.05,7.25,7.05,7.1,89200
Balchem Cp,BCPC,20180409,84.72,85.64,83.815,84.69,76300
Biocryst Pharma Inc,BCRX,20180409,4.65,4.78,4.6,4.62,616000
Bancorp 34 Inc,BCTF,20180409,15.04,15.04,15.04,15.04,200
Bridge Bancorp Inc,BDGE,20180409,33.1,33.55,32.85,32.85,38400
Biodelivery Sci Intl,BDSI,20180409,2.1,2.18,2.05,2.05,201700
Biotelemetry Inc,BEAT,20180409,30.9,31.9,30.45,31.75,432700
Beacon Roofing Suppl,BECN,20180409,53.75,53.88,51.22,51.38,779200
Bel Fuse Inc Cl B,BELFB,20180409,19.75,20.2,19.1,19.25,20200
Bankfinancial Corpor,BFIN,20180409,16.9,17.13,16.73,16.8,25100
G-X Health & Wellness Thematic Et,BFIT,20180409,17.78,17.78,17.76,17.76,300
Biofrontera Ag ADR,BFRA,20180409,14.03,14.03,13.76,13.76,1800
Bgc Partners Cl A,BGCP,20180409,13.2,13.38,13.12,13.17,2798300
Big 5 Sporting,BGFV,20180409,7.35,7.45,7.2,7.25,392500
Beigene Ltd Ads,BGNE,20180409,165.02,169.23,164.02,166.23,249500
Barington/Hilco Rgts,BHACR,20180409,0.35,0.35,0.35,0.35,200
Blue Hills Bancorp,BHBK,20180409,20.6,20.85,20.4,20.5,75900
Brighthouse Financial Inc,BHF,20180409,50.5,51.19,50.01,50.08,598000
Ultra Nasdaq Biotech Proshares,BIB,20180409,50.42,52.39,49.98,50.75,220800
BICK Index Fund FT,BICK,20180409,30.48,30.48,30.13,30.13,4100
Baidu Inc,BIDU,20180409,224.7,227.75,221.92,224.33,2280100
Biogen Inc,BIIB,20180409,258.29,264.46,254.33,257.52,2235500
Bilibili Inc. ADR,BILI,20180409,11,11.69,10.96,11.1,2648400
Biocept Inc,BIOC,20180409,0.262,0.27,0.255,0.27,885600
Biolase Inc,BIOL,20180409,0.4,0.42,0.4,0.4,15000
Bioscrip Inc,BIOS,20180409,2.64,2.71,2.54,2.55,1068600
Ultrashort Biotechnology Proshares,BIS,20180409,22.68,22.92,21.79,22.59,160300
Bj's Restaurants Inc,BJRI,20180409,45.3,45.8,45,45.5,418800
Blackrock Cptl Invt,BKCC,20180409,6.12,6.145,6.1,6.13,179700
Blueknight Energy LP,BKEP,20180409,4.55,4.55,4.5,4.5,20500
Blueknight Srs A Uts,BKEPP,20180409,7.11,7.11,7,7.07,54300
Booking Holdings Inc.,BKNG,20180409,2053.74,2088.81,2045,2048.74,355600
Bank of So Car Cp,BKSC,20180409,19.56,19.59,19.52,19.52,3100
Bio-Key Intl Inc,BKYI,20180409,2.4,2.4,2.19,2.23,53900
Blackline Inc,BL,20180409,38.45,38.855,38.22,38.26,302700
Blue Bird Corp,BLBD,20180409,23.45,23.8,23.2,23.5,62900
Bellicum Pharma Comm,BLCM,20180409,6.46,6.62,6.35,6.44,265500
Reality Shares Nasdaq Nextgen Economy ETF,BLCN,20180409,22.21,22.5,22.15,22.26,32500
Ballard Power Sys,BLDP,20180409,3.49,3.51,3.375,3.42,856800
Builders Firstsource,BLDR,20180409,19.88,20.02,19.05,19.06,773400
Biolife Solutions,BLFS,20180409,7.2,7.83,7.19,7.44,500200
Bridgeline Digital,BLIN,20180409,2,2.04,2,2.04,700
Blackbaud Inc,BLKB,20180409,104.26,105.71,103.59,103.65,123100
Bloomin' Brands Inc,BLMN,20180409,24.91,24.91,24.23,24.32,1607000
Bsb Bancorp Inc,BLMT,20180409,30.8,30.9,30.5,30.5,11700
Blink Charging Co,BLNK,20180409,2.19,2.19,2,2.06,21600
